iter	Logloss
0	0.6882985573
1	0.6827584471
2	0.6780074122
3	0.6731662386
4	0.6679524122
5	0.6626371262
6	0.657989791
7	0.6535961178
8	0.6484319217
9	0.6442636527
10	0.6396718288
11	0.6359497274
12	0.6315162714
13	0.6270081827
14	0.6231564391
15	0.6182510055
16	0.613831624
17	0.6090850964
18	0.6053987254
19	0.6015397897
20	0.5980259404
21	0.5936728472
22	0.5896857779
23	0.5851291775
24	0.5808550449
25	0.5763613011
26	0.5725193803
27	0.5685976862
28	0.5651914709
29	0.5619392645
30	0.5587315363
31	0.5556118265
32	0.5517086925
33	0.5481283967
34	0.5439497392
35	0.5408006368
36	0.5368625098
37	0.5335519353
38	0.5299555379
39	0.5264738333
40	0.5231846165
41	0.5195249766
42	0.5158428185
43	0.5133116976
44	0.5094348546
45	0.5060700604
46	0.5027459468
47	0.4996515888
48	0.496714818
49	0.4932978743
50	0.4904452912
51	0.4873021448
52	0.4844200306
53	0.4809753133
54	0.4782714169
55	0.4754549409
56	0.4727751979
57	0.4701021318
58	0.4676947637
59	0.464563192
60	0.4623419392
61	0.4595193244
62	0.456807976
63	0.4543522017
64	0.4514053142
65	0.4483276464
66	0.4456462595
67	0.4428241471
68	0.4401218211
69	0.4379404237
70	0.4355830345
71	0.4327779165
72	0.4303883367
73	0.4277838214
74	0.4250444129
75	0.4222576761
76	0.4202839319
77	0.4177838324
78	0.4154117167
79	0.4132725844
80	0.4108434432
81	0.4085446383
82	0.4064548027
83	0.4040454117
84	0.4018500605
85	0.3995539661
86	0.3969646214
87	0.394596785
88	0.3922714783
89	0.3898085697
90	0.3877508642
91	0.3857553206
92	0.3831564196
93	0.3812383803
94	0.3791997466
95	0.3777464894
96	0.3762677034
97	0.3744968637
98	0.372769954
99	0.3708451879
100	0.3690492835
101	0.3671276737
102	0.3653483157
103	0.3631675647
104	0.3612714108
105	0.359570586
106	0.3578938608
107	0.3562635059
108	0.3546447173
109	0.3532623832
110	0.3515785118
111	0.3499995669
112	0.3491909768
113	0.3477404248
114	0.346220929
115	0.3446741537
116	0.3434474903
117	0.3416602052
118	0.3398560423
119	0.3378597927
120	0.33648231
121	0.3347962906
122	0.333356523
123	0.3315421244
124	0.3302451485
125	0.3285790877
126	0.3269404551
127	0.3254297731
128	0.3239264647
129	0.3228807218
130	0.3214987517
131	0.3196748584
132	0.3184135214
133	0.317141688
134	0.3154259819
135	0.3138920354
136	0.3126414912
137	0.3113183002
138	0.3101590689
139	0.3086812488
140	0.3073480896
141	0.3058694966
142	0.3045639893
143	0.3032355694
144	0.3020830826
145	0.30081559
146	0.2993187009
147	0.2981262842
148	0.2969008017
149	0.2957564952
150	0.294710927
151	0.2936456738
152	0.2925800075
153	0.2911216445
154	0.289926369
155	0.288699274
156	0.2874914691
157	0.2861206879
158	0.284785032
159	0.2831511753
160	0.2820496508
161	0.280765084
162	0.2797649272
163	0.2785290724
164	0.2775671973
165	0.2765945259
166	0.2756783673
167	0.274589799
168	0.2735155314
169	0.2725476589
170	0.2710383246
171	0.270121727
172	0.2693909223
173	0.2686354856
174	0.2677428048
175	0.266608238
176	0.2655589185
177	0.2646391339
178	0.2634484797
179	0.2621857163
180	0.2613616777
181	0.2603113105
182	0.2592779472
183	0.2584254307
184	0.2574391968
185	0.2564683014
186	0.2555090657
187	0.254551365
188	0.2535560386
189	0.2527749769
190	0.2518320409
191	0.2508307449
192	0.2498753625
193	0.2490694245
194	0.2482258938
195	0.2473795737
196	0.2464185583
197	0.2457548813
198	0.2451139919
199	0.2440764686
200	0.2434159098
201	0.2426144245
202	0.2416731228
203	0.2409370223
204	0.2402001847
205	0.2396087527
206	0.2387245931
207	0.2379098721
208	0.2371595751
209	0.2363756176
210	0.23546031
211	0.2345619885
212	0.2336764224
213	0.2328047255
214	0.2321200463
215	0.2313086817
216	0.230585586
217	0.2299774734
218	0.229268293
219	0.2284325177
220	0.2278850473
221	0.2271329851
222	0.2265100932
223	0.2257661605
224	0.2249990562
225	0.2244111862
226	0.2235625755
227	0.2229283632
228	0.2223939935
229	0.2216724424
230	0.220857264
231	0.2202122489
232	0.2195402154
233	0.2189724112
234	0.2184502607
235	0.2178943924
236	0.217245328
237	0.2165244421
238	0.2158253569
239	0.2153796369
240	0.2146586807
241	0.2138800881
242	0.2131729464
243	0.2123839929
244	0.2118232869
245	0.2112633431
246	0.210787204
247	0.2101526361
248	0.2097137812
249	0.209224087
250	0.2086826846
251	0.2081298681
252	0.2076210182
253	0.2071244182
254	0.206567554
255	0.2060610254
256	0.205344797
257	0.2046387965
258	0.2041562619
259	0.2034147795
260	0.2028866401
261	0.2023602111
262	0.2019047166
263	0.2014489834
264	0.2010059765
265	0.2005853862
266	0.2000329786
267	0.1994515245
268	0.1988614091
269	0.1982453773
270	0.1977490123
271	0.1972077393
272	0.1965471357
273	0.1958819694
274	0.1953567704
275	0.1947144045
276	0.1940698129
277	0.193568672
278	0.1930691202
279	0.1926204603
280	0.1920825918
281	0.1914731718
282	0.1909157239
283	0.1902168826
284	0.189750499
285	0.1892095743
286	0.1888755051
287	0.1883670351
288	0.1879410457
289	0.18759368
290	0.1868723295
291	0.1863473369
292	0.1859330933
293	0.1854817193
294	0.1848950644
295	0.1844747721
296	0.1840330051
297	0.1836472542
298	0.1832376184
299	0.1827993436
300	0.1824335014
301	0.1820936509
302	0.1815153372
303	0.1811857195
304	0.1807130419
305	0.1802090549
306	0.179775487
307	0.1795932153
308	0.1791233949
309	0.1787013217
310	0.1780638465
311	0.177725989
312	0.1770701462
313	0.1767515241
314	0.1761741677
315	0.1757136677
316	0.1753009063
317	0.1748289856
318	0.1743839853
319	0.1740700895
320	0.1735827877
321	0.1731997497
322	0.1728275849
323	0.1723140705
324	0.1718711232
325	0.1713600937
326	0.1710160948
327	0.1706808429
328	0.1702371809
329	0.1696390581
330	0.1693156153
331	0.1689572942
332	0.1686079732
333	0.1681549874
334	0.1676760677
335	0.1673666295
336	0.167051233
337	0.1666427861
338	0.1662091342
339	0.1659071269
340	0.1655629408
341	0.1651069195
342	0.1646964899
343	0.1643384888
344	0.1641719821
345	0.1638618189
346	0.1634241055
347	0.1629814554
348	0.1626392277
349	0.1622631771
350	0.161949344
351	0.161494895
352	0.161149414
353	0.1606874643
354	0.1602670796
355	0.1599951573
356	0.1596159001
357	0.1592509213
358	0.158840881
359	0.1584192466
