iter	Passed	Remaining
0	1	1281
1	2	1290
2	3	1286
3	4	1239
4	6	1199
5	6	1151
6	8	1194
7	9	1200
8	10	1209
9	12	1204
10	13	1191
11	14	1217
12	16	1230
13	17	1231
14	18	1232
15	20	1283
16	22	1313
17	23	1305
18	24	1290
19	26	1293
20	27	1286
21	28	1274
22	29	1256
23	30	1253
24	31	1242
25	32	1235
26	34	1231
27	35	1217
28	36	1205
29	36	1193
30	37	1181
31	38	1177
32	39	1169
33	41	1171
34	42	1165
35	43	1156
36	44	1152
37	45	1148
38	46	1140
39	47	1134
40	48	1133
41	49	1126
42	50	1122
43	51	1122
44	52	1123
45	53	1118
46	54	1113
47	56	1111
48	56	1105
49	57	1101
50	58	1096
51	59	1093
52	60	1087
53	61	1082
54	62	1077
55	63	1078
56	65	1076
57	65	1071
58	66	1065
59	67	1061
60	68	1057
61	69	1055
62	70	1050
63	71	1047
64	72	1049
65	74	1048
66	75	1046
67	76	1043
68	77	1042
69	78	1042
70	79	1038
71	80	1034
72	81	1031
73	82	1028
74	83	1024
75	83	1020
76	84	1017
77	85	1015
78	86	1011
79	87	1009
80	88	1006
81	89	1003
82	90	1000
83	91	1000
84	92	999
85	93	997
86	95	997
87	96	995
88	97	992
89	97	990
90	99	988
91	99	986
92	100	983
93	101	981
94	102	980
95	103	978
96	105	977
97	105	975
98	106	973
99	108	972
100	108	970
101	109	967
102	110	965
103	111	963
104	112	962
105	113	960
106	114	958
107	116	958
108	116	955
109	118	954
110	118	952
111	119	950
112	120	948
113	121	946
114	122	945
115	123	943
116	124	940
117	125	938
118	126	936
119	127	934
120	128	934
121	129	932
122	130	930
123	131	929
124	132	928
125	133	927
126	134	926
127	135	925
128	136	924
129	137	921
130	138	920
131	139	919
132	140	918
133	141	916
134	142	914
135	143	912
136	144	911
137	145	910
138	146	909
139	147	907
140	148	906
141	149	904
142	150	902
143	151	901
144	152	900
145	153	898
146	154	897
147	155	896
148	156	894
149	157	893
150	158	892
151	159	890
152	160	889
153	161	888
154	162	886
155	163	885
156	164	884
157	165	882
158	166	880
159	167	880
160	168	879
161	169	878
162	170	876
163	171	875
164	172	874
165	173	873
166	174	871
167	175	870
168	176	868
169	177	867
170	178	866
171	179	865
172	180	864
173	182	867
174	184	870
175	185	870
176	187	870
177	188	869
178	189	869
179	190	868
180	191	867
181	192	867
182	194	866
