ssc_p,hsc_p,degree_p,gender_F,gender_M,workex_No,workex_Yes,special_Mkt&Fin,special_Mkt&HR,status
67.0,70.0,65.0,1,0,1,0,0,1,0
63.0,67.0,74.0,0,1,1,0,1,0,0
54.0,47.0,57.0,0,1,1,0,0,1,0
52.0,63.0,65.0,0,1,0,1,0,1,0
52.0,65.0,57.0,0,1,0,1,1,0,0
67.0,53.0,65.0,1,0,1,0,0,1,0
47.0,55.0,65.0,1,0,1,0,0,1,0
69.0,78.0,72.0,1,0,1,0,0,1,1
76.76,76.5,67.5,0,1,0,1,1,0,1
49.0,39.0,65.0,0,1,1,0,1,0,0
52.0,49.0,58.0,0,1,1,0,0,1,0
63.0,72.0,68.0,0,1,1,0,0,1,1
62.0,63.0,66.0,0,1,1,0,0,1,1
54.4,61.12,56.2,0,1,1,0,0,1,0
61.0,62.0,65.0,0,1,1,0,1,0,1
52.0,52.0,55.0,1,0,1,0,0,1,0
66.5,70.4,71.93,1,0,1,0,1,0,1
74.0,63.16,65.0,1,0,0,1,0,1,0
67.0,68.0,64.0,0,1,0,1,0,1,1
84.0,90.9,64.5,0,1,1,0,1,0,1
72.0,60.0,69.0,1,0,1,0,0,1,1
71.0,79.0,66.0,0,1,0,1,1,0,1
77.67,64.89,70.67,0,1,1,0,1,0,1
73.96,79.0,67.0,1,0,1,0,1,0,1
84.0,73.0,73.0,1,0,1,0,1,0,1
65.0,68.0,64.0,0,1,1,0,1,0,1
64.0,80.0,65.0,0,1,0,1,1,0,1
70.89,71.98,65.6,1,0,1,0,0,1,0
74.0,66.0,58.0,1,0,1,0,0,1,1
73.0,63.0,66.0,1,0,1,0,1,0,1
85.0,90.0,82.0,1,0,1,0,1,0,1
83.84,89.83,77.2,1,0,0,1,1,0,1
52.0,50.0,61.0,0,1,1,0,1,0,0
51.0,44.0,57.0,0,1,1,0,1,0,0
66.5,66.8,69.3,1,0,0,1,1,0,1
84.2,73.4,66.89,0,1,1,0,1,0,1
69.8,60.8,72.23,1,0,1,0,0,1,1
66.0,64.0,60.0,0,1,1,0,0,1,0
60.8,68.4,64.6,0,1,0,1,1,0,1
87.0,65.0,81.0,1,0,0,1,1,0,1
69.6,68.4,78.3,0,1,0,1,1,0,1
62.0,72.0,65.0,0,1,1,0,1,0,1
63.4,67.2,60.0,1,0,1,0,0,1,0
46.0,49.2,79.0,1,0,1,0,1,0,0
63.0,67.0,66.0,0,1,1,0,0,1,1
72.0,63.0,77.5,0,1,0,1,1,0,1
41.0,42.0,60.0,0,1,1,0,1,0,0
70.0,74.0,65.0,0,1,1,0,1,0,1
85.8,73.6,73.3,0,1,1,0,1,0,1
61.0,81.0,66.4,1,0,1,0,0,1,1
54.2,63.0,58.0,0,1,1,0,0,1,0
51.57,74.66,59.9,0,1,0,1,0,1,0
73.0,58.0,56.0,0,1,1,0,0,1,1
53.0,63.0,60.0,0,1,0,1,1,0,1
65.0,68.0,69.0,0,1,1,0,0,1,1
58.0,61.0,60.0,0,1,0,1,0,1,1
86.5,64.2,67.4,1,0,1,0,1,0,1
79.0,61.0,75.5,1,0,0,1,1,0,1
84.2,69.4,65.0,0,1,0,1,0,1,1
73.0,97.0,79.0,1,0,0,1,1,0,1
67.0,91.0,58.0,0,1,1,0,0,1,1
60.0,63.0,56.0,1,0,0,1,0,1,1
63.0,67.0,64.0,0,1,1,0,1,0,1
82.0,61.0,62.0,0,1,1,0,1,0,1
62.0,60.33,64.21,0,1,1,0,0,1,0
80.0,73.0,75.0,0,1,1,0,1,0,1
77.0,73.0,81.0,1,0,0,1,1,0,1
65.0,64.8,69.5,0,1,0,1,1,0,1
78.0,77.0,80.0,1,0,1,0,1,0,1
74.0,59.0,73.0,0,1,0,1,0,1,1
77.4,60.0,64.74,1,0,0,1,1,0,1
55.6,51.0,57.5,0,1,1,0,0,1,0
65.2,61.4,64.8,0,1,0,1,1,0,1
81.7,63.0,67.0,0,1,0,1,1,0,1
81.0,68.0,64.0,0,1,1,0,1,0,1
65.0,71.5,62.8,0,1,0,1,1,0,1
63.0,60.0,57.0,0,1,0,1,1,0,1
58.0,62.0,64.0,0,1,1,0,1,0,1
67.16,72.5,63.35,1,0,1,0,1,0,1
87.0,87.0,68.0,0,1,1,0,0,1,1
77.0,86.0,56.0,1,0,1,0,1,0,1
56.0,52.0,52.0,0,1,1,0,0,1,0
59.0,64.0,58.0,0,1,1,0,0,1,0
80.0,70.0,72.0,0,1,1,0,0,1,1
73.0,64.0,77.0,0,1,0,1,0,1,1
52.0,55.0,56.3,0,1,1,0,1,0,0
67.9,62.0,67.0,0,1,0,1,1,0,0
69.0,65.0,57.0,0,1,1,0,0,1,1
50.0,37.0,52.0,1,0,1,0,0,1,0
69.0,62.0,69.0,1,0,0,1,0,1,1
62.0,51.0,52.0,0,1,1,0,0,1,0
82.0,64.0,66.0,0,1,0,1,1,0,1
69.5,70.0,72.0,1,0,1,0,0,1,1
52.0,57.0,50.8,0,1,1,0,0,1,0
84.0,79.0,68.0,0,1,0,1,1,0,1
64.0,70.2,61.0,1,0,1,0,1,0,0
66.0,76.0,72.0,0,1,0,1,0,1,1
84.0,75.0,69.0,1,0,0,1,0,1,1
73.0,79.0,72.0,0,1,1,0,1,0,1
77.0,87.0,59.0,1,0,1,0,1,0,1
52.6,65.58,72.11,0,1,1,0,1,0,1
56.28,62.83,59.79,1,0,1,0,0,1,0
74.9,57.0,62.0,1,0,0,1,1,0,1
55.0,67.0,64.0,1,0,1,0,1,0,0
62.0,62.0,60.0,0,1,0,1,0,1,1
84.86,67.0,78.0,0,1,1,0,1,0,1
43.0,60.0,65.0,1,0,1,0,0,1,0
77.44,92.0,72.0,1,0,0,1,1,0,1
68.0,56.0,68.0,0,1,1,0,0,1,1
83.96,53.0,91.0,1,0,1,0,0,1,1
61.0,70.0,64.0,0,1,1,0,0,1,0
74.0,60.0,69.0,1,0,1,0,0,1,1
82.0,90.0,83.0,0,1,1,0,0,1,1
75.2,73.2,68.4,1,0,1,0,0,1,1
73.24,50.83,64.27,0,1,0,1,1,0,1
58.0,60.0,72.0,0,1,1,0,1,0,1
59.96,42.16,61.26,0,1,1,0,0,1,0
74.0,62.0,68.0,0,1,1,0,1,0,1
63.0,62.0,68.0,0,1,1,0,1,0,1
66.0,62.0,73.0,1,0,1,0,0,1,1
79.0,76.0,85.0,1,0,1,0,1,0,1
68.0,76.0,74.0,0,1,1,0,1,0,1
87.0,74.0,65.0,0,1,0,1,0,1,1
83.33,78.0,61.0,0,1,0,1,1,0,1
78.5,65.5,67.0,0,1,0,1,1,0,1
76.7,89.7,66.0,0,1,0,1,1,0,1
79.0,76.0,65.6,1,0,1,0,0,1,1
66.5,62.5,60.9,0,1,1,0,1,0,1
55.68,61.33,56.87,0,1,1,0,0,1,1
79.33,78.33,77.48,0,1,0,1,1,0,1
40.89,45.83,53.0,1,0,1,0,0,1,0
44.0,58.0,55.0,0,1,0,1,0,1,0
62.0,65.0,60.0,0,1,1,0,1,0,0
65.0,65.0,75.0,0,1,1,0,1,0,1
73.0,78.0,73.0,0,1,0,1,0,1,1
54.0,82.0,63.0,0,1,1,0,1,0,0
68.2,72.8,66.6,0,1,0,1,1,0,1
59.6,51.0,60.0,0,1,1,0,0,1,0
70.0,63.0,66.0,0,1,1,0,0,1,1
56.6,64.8,70.2,0,1,1,0,1,0,1
64.0,67.0,69.6,1,0,0,1,0,1,1
62.0,58.0,53.0,0,1,1,0,0,1,0
62.0,65.0,66.0,0,1,1,0,0,1,1
61.8,47.0,54.38,0,1,1,0,1,0,0
75.0,70.29,71.0,0,1,1,0,1,0,1
